Zeit [s];r [rad];u1;d;y2 [rad]
2.83;31.415927;1.927783889;0;30.06818329
2.84;31.415927;1.794329911;0;30.06818329
2.85;31.415927;1.711851813;0;30.08074966
2.86;31.415927;1.588124893;0;30.08074966
2.87;31.415927;1.492328544;0;30.08703284
2.88;31.415927;1.400874209;0;30.09331603
2.89;31.415927;1.290947347;0;30.09331603
2.9;31.415927;1.197045438;0;30.09645762
2.91;31.415927;1.095971705;0;30.09645762
2.92;31.415927;0.999229302;0;30.09645762
2.93;31.415927;0.906632615;0;30.09645762
2.94;31.415927;0.818003985;0;30.09645762
2.95;31.415927;0.733173367;0;30.09645762
2.96;31.415927;0.640663766;0;30.09331603
2.97;31.415927;0.563314305;0;30.09331603
2.98;31.415927;0.466651031;0;30.08703284
2.99;31.415927;0.385207478;0;30.08389125
3;31.415927;0.318449843;0;30.08389125
3.01;31.415927;0.231924496;0;30.07760807
3.02;31.415927;0.171498657;0;30.07760807
3.03;31.415927;0.091033764;0;30.07132488
3.04;31.415927;0.002465961;0;30.0619001
3.05;31.415927;-0.048718994;0;30.0619001
3.06;31.415927;-0.120339009;0;30.05561692
3.07;31.415927;-0.189126736;0;30.04933373
3.08;31.415927;-0.23257508;0;30.04933373
3.09;31.415927;-0.296790026;0;30.04305055
3.1;31.415927;-0.347175785;0;30.03990895
3.11;31.415927;-0.384206568;0;30.03990895
3.12;31.415927;-0.442278971;0;30.03362577
3.13;31.415927;-0.486785417;0;30.03048418
3.14;31.415927;-0.518188839;0;30.03048418
3.15;31.415927;-0.559560798;0;30.02734258
3.16;31.415927;-0.587964058;0;30.02734258
3.17;31.415927;-0.615150189;0;30.02734258
3.18;31.415927;-0.641171351;0;30.02734258
3.19;31.415927;-0.666077465;0;30.02734258
3.2;31.415927;-0.689916317;0;30.02734258
3.21;31.415927;-0.701419408;0;30.03048418
3.22;31.415927;-0.72362542;0;30.03048418
3.23;31.415927;-0.733565644;0;30.03362577
3.24;31.415927;-0.754275763;0;30.03362577
3.25;31.415927;-0.774098434;0;30.03362577
3.26;31.415927;-0.781757451;0;30.03676736
3.27;31.415927;-0.800284121;0;30.03676736
3.28;31.415927;-0.806702677;0;30.03990895
3.29;31.415927;-0.824042045;0;30.03990895
3.3;31.415927;-0.840638412;0;30.03990895
3.31;31.415927;-0.845209385;0;30.04305055
3.32;31.415927;-0.860780346;0;30.04305055
3.33;31.415927;-0.875684089;0;30.04305055
3.34;31.415927;-0.889949208;0;30.04305055
3.35;31.415927;-0.903603069;0;30.04305055
3.36;31.415927;-0.916671867;0;30.04305055
3.37;31.415927;-0.929180675;0;30.04305055
3.38;31.415927;-0.941153489;0;30.04305055
3.39;31.415927;-0.952613281;0;30.04305055
3.4;31.415927;-0.974896268;0;30.03990895
