Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref
Winkel [rad];-;--;-;--
3.23;10.4632205;11.61289724;-10.4381251;-11.62075123
3.24;10.47161381;11.61760963;-10.44678591;-11.62389282
3.25;10.47991765;11.62075123;-10.4553544;-11.62860521
3.26;10.48813298;11.62389282;-10.46383155;-11.6333176
3.27;10.49626073;11.6317468;-10.47221834;-11.63960078
3.28;10.50430185;11.63960078;-10.48051574;-11.64588397
3.29;10.51225726;11.64117158;-10.48872469;-11.64902556
3.3;10.52012787;11.64274237;-10.49684614;-11.65216715
3.31;10.52791458;11.64588397;-10.50488102;-11.65373795
3.32;10.5356183;11.64902556;-10.51283025;-11.65530874
3.33;10.54323989;11.65216715;-10.52069476;-11.66002113
3.34;10.55078025;11.65530874;-10.52847543;-11.66473352
3.35;10.55824023;11.65687954;-10.53617316;-11.66630432
3.36;10.56562069;11.65845034;-10.54378884;-11.66787512
3.37;10.57292248;11.65845034;-10.55132335;-11.66944591
3.38;10.58014644;11.65845034;-10.55877754;-11.67101671
3.39;10.5872934;11.66002113;-10.56615227;-11.67101671
3.4;10.59436418;11.66159193;-10.5734484;-11.67101671
3.41;10.60135958;11.66159193;-10.58066675;-11.67101671
3.42;10.60828042;11.66159193;-10.58780816;-11.67101671
3.43;10.61512749;11.66159193;-10.59487345;-11.67101671
3.44;10.62190157;11.66159193;-10.60186343;-11.67101671
3.45;10.62860345;11.66159193;-10.6087789;-11.66944591
3.46;10.63523389;11.66159193;-10.61562066;-11.66787512
3.47;10.64179365;11.66159193;-10.62238948;-11.66787512
3.48;10.6482835;11.66159193;-10.62908616;-11.66787512
3.49;10.65470416;11.66002113;-10.63571145;-11.66630432
3.5;10.66105638;11.65845034;-10.64226613;-11.66473352
3.51;10.6673409;11.65845034;-10.64875093;-11.66316273
3.52;10.67355842;11.65845034;-10.65516661;-11.66159193
3.53;10.67970967;11.65845034;-10.66151391;-11.66159193
3.54;10.68579536;11.65845034;-10.66779354;-11.66159193
3.55;10.69181617;11.65845034;-10.67400624;-11.66159193
3.56;10.6977728;11.65845034;-10.68015272;-11.66159193
3.57;10.70366595;11.65845034;-10.68623368;-11.66159193
3.58;10.70949627;11.65845034;-10.69224982;-11.66159193
3.59;10.71526445;11.65845034;-10.69820184;-11.66159193
3.6;10.72097114;11.65845034;-10.7040904;-11.66159193
3.61;10.72661701;11.65845034;-10.70991621;-11.66159193
3.62;10.73220269;11.65845034;-10.71567991;-11.66159193
3.63;10.73772883;11.65845034;-10.72138217;-11.66159193
3.64;10.74319607;11.65845034;-10.72702366;-11.66159193
3.65;10.74860504;11.65845034;-10.732605;-11.66159193
3.66;10.75395634;11.65845034;-10.73812686;-11.66159193
3.67;10.75925061;11.65845034;-10.74358986;-11.66159193
3.68;10.76448844;11.65845034;-10.74899462;-11.66159193
3.69;10.76967044;11.65845034;-10.75434177;-11.66159193
3.7;10.7747972;11.65845034;-10.75963193;-11.66159193
3.71;10.77986932;11.65845034;-10.7648657;-11.66159193
3.72;10.78488737;11.65845034;-10.77004367;-11.66159193
3.73;10.78985193;11.65845034;-10.77516646;-11.66159193
3.74;10.79476357;11.65845034;-10.78023464;-11.66159193
3.75;10.79962286;11.65845034;-10.7852488;-11.66159193
3.76;10.80443035;11.65845034;-10.7902095;-11.66159193
3.77;10.8091866;11.65845034;-10.79511734;-11.66159193
3.78;10.81389215;11.65845034;-10.79997285;-11.66159193
3.79;10.81854754;11.65845034;-10.80477661;-11.66159193
3.8;10.82315331;11.65845034;-10.80952917;-11.66159193
3.81;10.82770998;11.65845034;-10.81423107;-11.66159193
3.82;10.83221808;11.65845034;-10.81888285;-11.66159193
3.83;10.83667813;11.65845034;-10.82348504;-11.66159193
3.84;10.84109064;11.65845034;-10.82803818;-11.66159193
3.85;10.84545611;11.65845034;-10.83254278;-11.66159193
3.86;10.84977505;11.65845034;-10.83699937;-11.66159193
3.87;10.85404796;11.65845034;-10.84140845;-11.66159193
3.88;10.85827531;11.65845034;-10.84577054;-11.66159193
3.89;10.86245761;11.65845034;-10.85008613;-11.66159193
3.9;10.86659533;11.65845034;-10.85435572;-11.66159193
3.91;10.87068894;11.65845034;-10.85857979;-11.66159193
3.92;10.87473892;11.65845034;-10.86275884;-11.66159193
3.93;10.87874572;11.65845034;-10.86689335;-11.66159193
3.94;10.88270982;11.65845034;-10.87098379;-11.66159193
3.95;10.88663166;11.65845034;-10.87503062;-11.66159193
3.96;10.8905117;11.65845034;-10.87903432;-11.66159193
3.97;10.89435038;11.65845034;-10.88299534;-11.66159193
3.98;10.89814814;11.65845034;-10.88691414;-11.66159193
3.99;10.90190542;11.65845034;-10.89079116;-11.66159193
4;10.90562265;11.65845034;-10.89462686;-11.66159193
4.01;10.90930026;11.65845034;-10.89842168;-11.66159193
4.02;10.91293867;11.65845034;-10.90217604;-11.66159193
4.03;10.91653829;11.65845034;-10.90589039;-11.66159193
