Zeit [s];r [rad];d;y2Systune [rad];y2Genetic [rad];y2DifferentialEvol [rad]
2.79;31.415927;0;19.83915761;29.74774084;30.0210594
2.8;31.415927;0;19.83915761;29.74774084;30.03990895
2.81;31.415927;0;19.9271222;29.75088243;30.03990895
2.82;31.415927;0;20.0119452;29.75402402;30.05561692
2.83;31.415927;0;20.0119452;29.75402402;30.06818329
2.84;31.415927;0;20.0999098;29.75716561;30.06818329
2.85;31.415927;0;20.17844961;29.75716561;30.08074966
2.86;31.415927;0;20.17844961;29.75716561;30.08074966
2.87;31.415927;0;20.26327262;29.75716561;30.08703284
2.88;31.415927;0;20.26327262;29.75402402;30.09331603
2.89;31.415927;0;20.34181243;29.75402402;30.09331603
2.9;31.415927;0;20.42663543;29.75088243;30.09645762
2.91;31.415927;0;20.42663543;29.75088243;30.09645762
2.92;31.415927;0;20.50831684;29.74774084;30.09645762
2.93;31.415927;0;20.58371507;29.74459924;30.09645762
2.94;31.415927;0;20.58371507;29.74459924;30.09645762
2.95;31.415927;0;20.66539648;29.73831606;30.09645762
2.96;31.415927;0;20.66539648;29.73517447;30.09331603
2.97;31.415927;0;20.7407947;29.73517447;30.09331603
2.98;31.415927;0;20.82247611;29.72889128;30.08703284
2.99;31.415927;0;20.82247611;29.7226081;30.08389125
3;31.415927;0;20.89787433;29.7226081;30.08389125
3.01;31.415927;0;20.97013096;29.7194665;30.07760807
3.02;31.415927;0;20.97013096;29.71632491;30.07760807
3.03;31.415927;0;21.04867078;29.71632491;30.07132488
3.04;31.415927;0;21.04867078;29.71318332;30.0619001
3.05;31.415927;0;21.12092741;29.71004172;30.0619001
3.06;31.415927;0;21.19946723;29.71004172;30.05561692
3.07;31.415927;0;21.19946723;29.71004172;30.04933373
3.08;31.415927;0;21.27486545;29.71004172;30.04933373
3.09;31.415927;0;21.34712208;29.71004172;30.04305055
3.1;31.415927;0;21.34712208;29.71004172;30.03990895
3.11;31.415927;0;21.4256619;29.71004172;30.03990895
3.12;31.415927;0;21.4256619;29.71004172;30.03362577
3.13;31.415927;0;21.49477694;29.71318332;30.03048418
3.14;31.415927;0;21.57645834;29.71318332;30.03048418
3.15;31.415927;0;21.57645834;29.71632491;30.02734258
3.16;31.415927;0;21.64871498;29.71632491;30.02734258
3.17;31.415927;0;21.72097161;29.71632491;30.02734258
3.18;31.415927;0;21.72097161;29.7194665;30.02734258
3.19;31.415927;0;21.79951142;29.7194665;30.02734258
3.2;31.415927;0;21.79951142;29.7194665;30.02734258
3.21;31.415927;0;21.86548487;29.7194665;30.03048418
3.22;31.415927;0;21.94402469;29.7194665;30.03048418
3.23;31.415927;0;21.94402469;29.7194665;30.03362577
3.24;31.415927;0;22.01628132;29.7194665;30.03362577
3.25;31.415927;0;22.08225476;29.7194665;30.03362577
3.26;31.415927;0;22.08225476;29.7194665;30.03676736
3.27;31.415927;0;22.15765299;29.7194665;30.03676736
3.28;31.415927;0;22.15765299;29.7194665;30.03990895
3.29;31.415927;0;22.22048484;29.7194665;30.03990895
