Zeit [s];y_1;y_2
Winkel [rad];-;-
14.32;-4.413937678;4.426504049
14.34;-4.413937678;4.426504049
14.36;-4.413937678;4.426504049
14.38;-4.417079271;4.426504049
14.4;-4.417079271;4.426504049
14.42;-4.413937678;4.426504049
14.44;-4.413937678;4.426504049
14.46;-4.413937678;4.426504049
14.48;-4.413937678;4.426504049
14.5;-4.413937678;4.426504049
14.52;-4.417079271;4.426504049
14.54;-4.413937678;4.426504049
14.56;-4.413937678;4.426504049
14.58;-4.417079271;4.426504049
14.6;-4.417079271;4.426504049
14.62;-4.417079271;4.426504049
14.64;-4.417079271;4.426504049
14.66;-4.417079271;4.426504049
14.68;-4.413937678;4.426504049
14.7;-4.417079271;4.426504049
14.72;-4.413937678;4.426504049
14.74;-4.413937678;4.426504049
14.76;-4.413937678;4.426504049
14.78;-4.417079271;4.426504049
14.8;-4.413937678;4.426504049
14.82;-4.413937678;4.426504049
14.84;-4.413937678;4.426504049
14.86;-4.417079271;4.426504049
14.88;-4.413937678;4.426504049
14.9;-4.413937678;4.426504049
14.92;-4.413937678;4.426504049
14.94;-4.413937678;4.426504049
14.96;-4.417079271;4.426504049
14.98;-4.413937678;4.426504049
15;-4.417079271;4.426504049
15.02;-4.413937678;4.426504049
15.04;-4.417079271;4.426504049
15.06;-4.413937678;4.426504049
15.08;-4.413937678;4.426504049
15.1;-4.417079271;4.426504049
15.12;-4.413937678;4.426504049
15.14;-4.417079271;4.426504049
15.16;-4.417079271;4.426504049
15.18;-4.417079271;4.426504049
15.2;-4.417079271;4.426504049
15.22;-4.413937678;4.426504049
15.24;-4.413937678;4.426504049
15.26;-4.417079271;4.426504049
15.28;-4.417079271;4.426504049
15.3;-4.417079271;4.426504049
15.32;-4.417079271;4.426504049
15.34;-4.413937678;4.426504049
15.36;-4.417079271;4.426504049
15.38;-4.413937678;4.426504049
15.4;-4.413937678;4.426504049
15.42;-4.413937678;4.426504049
15.44;-4.413937678;4.426504049
15.46;-4.417079271;4.426504049
15.48;-4.413937678;4.426504049
15.5;-4.413937678;4.426504049
15.52;-4.417079271;4.426504049
15.54;-4.413937678;4.417079271
15.56;-4.413937678;4.410796086
15.58;-4.413937678;4.382521752
15.6;-4.410796086;4.360530603
15.62;-4.4045129;4.338539455
15.64;-4.398229715;4.310265121
15.66;-4.369955381;4.256858046
15.68;-4.347964233;4.228583712
15.7;-4.322831491;4.203450971
15.72;-4.259999638;4.153185488
15.74;-4.219158934;4.124911154
15.76;-4.175176637;4.093495228
15.78;-4.134335932;4.065220894
15.8;-4.08407045;4.027521782
15.82;-3.98982267;3.948981966
15.84;-3.945840373;3.901858076
15.86;-3.898716483;3.857875779
15.88;-3.801327111;3.74163685
15.9;-3.747920036;3.678804997
15.92;-3.694512961;3.615973144
15.94;-3.644247478;3.556282884
15.96;-3.52800855;3.430619178
15.98;-3.452610326;3.358362547
16;-3.392920066;3.298672286
16.02;-3.317521842;3.226415655
16.04;-3.169866987;3.103893542
16.06;-3.088185578;3.041061689
16.08;-3.015928947;2.993937799
16.1;-2.934247538;2.934247538
16.12;-2.792875869;2.824291796
16.14;-2.720619238;2.761459943
16.16;-2.66407057;2.698628089
16.18;-2.601238717;2.635796236
16.2;-2.494424567;2.51013253
