Zeit [s];r [rad];u1;d;y2 [rad]
3.36;31.415927;-1.06150723;0;29.7194665
3.37;31.415927;-1.071385658;0;29.7194665
3.38;31.415927;-1.080870116;0;29.7194665
3.39;31.415927;-1.08997632;0;29.7194665
3.4;31.415927;-1.098719355;0;29.7194665
3.41;31.415927;-1.107113708;0;29.7194665
3.42;31.415927;-1.115173285;0;29.7194665
3.43;31.415927;-1.122911439;0;29.7194665
3.44;31.415927;-1.130340991;0;29.7194665
3.45;31.415927;-1.13747425;0;29.7194665
3.46;31.415927;-1.144323032;0;29.7194665
3.47;31.415927;-1.150898686;0;29.7194665
3.48;31.415927;-1.157212104;0;29.7194665
3.49;31.415927;-1.163273746;0;29.7194665
3.5;31.415927;-1.169093654;0;29.7194665
3.51;31.415927;-1.174681471;0;29.7194665
3.52;31.415927;-1.180046453;0;29.7194665
3.53;31.415927;-1.185197488;0;29.7194665
3.54;31.415927;-1.19014311;0;29.7194665
3.55;31.415927;-1.194891511;0;29.7194665
3.56;31.415927;-1.199450558;0;29.7194665
3.57;31.415927;-1.203827804;0;29.7194665
3.58;31.415927;-1.208030499;0;29.7194665
3.59;31.415927;-1.212065607;0;29.7194665
3.6;31.415927;-1.21593981;0;29.7194665
3.61;31.415927;-1.219659527;0;29.7194665
3.62;31.415927;-1.22323092;0;29.7194665
3.63;31.415927;-1.226659905;0;29.7194665
3.64;31.415927;-1.229952161;0;29.7194665
3.65;31.415927;-1.233113143;0;29.7194665
3.66;31.415927;-1.236148086;0;29.7194665
3.67;31.415927;-1.239062018;0;29.7194665
3.68;31.415927;-1.241859764;0;29.7194665
3.69;31.415927;-1.24454596;0;29.7194665
3.7;31.415927;-1.247125054;0;29.7194665
3.71;31.415927;-1.249601318;0;29.7194665
3.72;31.415927;-1.251978854;0;29.7194665
3.73;31.415927;-1.2542616;0;29.7194665
3.74;31.415927;-1.256453335;0;29.7194665
3.75;31.415927;-1.258557692;0;29.7194665
3.76;31.415927;-1.260578153;0;29.7194665
3.77;31.415927;-1.262518067;0;29.7194665
3.78;31.415927;-1.264380645;0;29.7194665
3.79;31.415927;-1.266168971;0;29.7194665
3.8;31.415927;-1.267886009;0;29.7194665
3.81;31.415927;-1.2695346;0;29.7194665
3.82;31.415927;-1.271117476;0;29.7194665
3.83;31.415927;-1.272637256;0;29.7194665
3.84;31.415927;-1.274096458;0;29.7194665
3.85;31.415927;-1.275497499;0;29.7194665
3.86;31.415927;-1.276842697;0;29.7194665
3.87;31.415927;-1.27813428;0;29.7194665
3.88;31.415927;-1.279374386;0;29.7194665
3.89;31.415927;-1.280565069;0;29.7194665
3.9;31.415927;-1.281708301;0;29.7194665
3.91;31.415927;-1.282805973;0;29.7194665
3.92;31.415927;-1.283859902;0;29.7194665
3.93;31.415927;-1.284871835;0;29.7194665
3.94;31.415927;-1.285843444;0;29.7194665
3.95;31.415927;-1.28677634;0;29.7194665
