Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF"
360;6.205155;84.155002;-1.165890;0.326791;10.000000;0.100000
361;6.205155;84.155002;-1.165890;0.326791;10.000000;0.100000
362;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
363;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
364;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
365;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
366;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
367;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
368;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
369;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
370;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
371;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
372;6.208333;84.139542;-1.185186;0.324511;10.000000;0.100000
373;6.204492;84.147127;-1.163259;0.327101;10.000000;0.100000
374;6.204492;84.147127;-1.163259;0.327101;10.000000;0.100000
375;6.199488;84.145525;-1.152428;0.326052;10.000000;0.100000
376;6.199488;84.145525;-1.152428;0.326052;10.000000;0.100000
377;6.201836;84.149390;-1.152990;0.327945;10.000000;0.100000
378;6.201836;84.149390;-1.152990;0.327945;10.000000;0.100000
379;6.201836;84.149390;-1.152990;0.327945;10.000000;0.100000
380;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
381;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
382;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
383;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
384;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
385;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
386;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
387;6.203827;84.141736;-1.162261;0.327032;10.000000;0.100000
388;6.212877;84.156791;-1.167828;0.333292;10.000000;0.100000
389;6.206728;84.149040;-1.160145;0.330221;10.000000;0.100000
390;6.209039;84.154392;-1.156075;0.333329;10.000000;0.100000
391;6.209039;84.154392;-1.156075;0.333329;10.000000;0.100000
392;6.209039;84.154392;-1.156075;0.333329;10.000000;0.100000
393;6.200677;84.152308;-1.137683;0.331371;10.000000;0.100000
394;6.200677;84.152308;-1.137683;0.331371;10.000000;0.100000
395;6.200677;84.152308;-1.137683;0.331371;10.000000;0.100000
396;6.197100;84.153133;-1.126501;0.331396;10.000000;0.100000
397;6.206819;84.150016;-1.155017;0.331783;10.000000;0.100000
398;6.199202;84.149993;-1.135163;0.330896;10.000000;0.100000
399;6.199202;84.149993;-1.135163;0.330896;10.000000;0.100000
400;6.199202;84.149993;-1.135163;0.330896;10.000000;0.100000
401;6.199202;84.149993;-1.135163;0.330896;10.000000;0.100000
402;6.194316;84.147487;-1.121002;0.330571;10.000000;0.100000
403;6.194316;84.147487;-1.121002;0.330571;10.000000;0.100000
404;6.198566;84.151035;-1.125873;0.332771;10.000000;0.100000
405;6.198113;84.141502;-1.134503;0.330103;10.000000;0.100000
406;6.198113;84.141502;-1.134503;0.330103;10.000000;0.100000
407;6.198113;84.141502;-1.134503;0.330103;10.000000;0.100000
408;6.198113;84.141502;-1.134503;0.330103;10.000000;0.100000
