Zeit [s];r [rad];u2
15.21;12.566371;10
15.23;12.566371;10
15.25;12.566371;10
15.27;12.566371;10
15.29;12.566371;10
15.31;12.566371;10
15.33;12.566371;10
15.35;12.566371;10
15.37;12.566371;10
15.39;12.566371;10
15.41;12.566371;10
15.43;12.566371;10
15.45;12.566371;10
15.47;12.566371;10
15.49;12.566371;10
15.51;12.566371;10
15.53;12.566371;10
15.55;12.566371;10
15.57;12.566371;10
15.59;12.566371;10
15.61;12.566371;10
15.63;12.566371;10
15.65;12.566371;10
15.67;12.566371;10
15.69;12.566371;10
15.71;12.566371;10
15.73;12.566371;10
15.75;12.566371;10
15.77;12.566371;10
15.79;12.566371;10
15.81;12.566371;10
15.83;12.566371;10
15.85;12.566371;10
15.87;12.566371;10
15.89;12.566371;10
15.91;12.566371;10
15.93;12.566371;10
15.95;12.566371;10
15.97;12.566371;10
15.99;12.566371;10
16.01;12.566371;10
16.03;12.566371;10
16.05;12.566371;10
16.07;12.566371;10
16.09;12.566371;10
16.11;12.566371;10
16.13;12.566371;10
16.15;12.566371;10
16.17;12.566371;10
16.19;12.566371;10
16.21;12.566371;10
16.23;12.566371;10
16.25;12.566371;10
16.27;12.566371;10
16.29;12.566371;10
16.31;12.566371;10
16.33;12.566371;10
16.35;12.566371;10
16.37;12.566371;10
16.39;12.566371;10
16.41;12.566371;10
16.43;12.566371;10
16.45;12.566371;10
16.47;12.566371;10
16.49;12.566371;10
16.51;12.566371;10
16.53;12.566371;10
16.55;12.566371;10
16.57;12.566371;10
16.59;12.566371;10
16.61;12.566371;10
16.63;12.566371;10
16.65;12.566371;10
16.67;12.566371;10
16.69;12.566371;10
16.71;12.566371;10
16.73;12.566371;10
16.75;12.566371;10
16.77;12.566371;10
16.79;12.566371;10
16.81;12.566371;10
16.83;12.566371;10
16.85;12.566371;10
16.87;12.566371;10
16.89;12.566371;10
16.91;12.566371;10
16.93;12.566371;10
16.95;12.566371;10
16.97;12.566371;10
16.99;12.566371;10
17.01;12.566371;10
17.03;12.566371;10
17.05;12.566371;10
17.07;12.566371;10
17.09;12.566371;10
17.11;12.566371;10
17.13;12.566371;10
17.15;12.566371;10
17.17;12.566371;10
17.19;12.566371;10
17.21;12.566371;10
17.23;12.566371;10
17.25;12.566371;10
17.27;12.566371;10
17.29;12.566371;10
17.31;12.566371;10
17.33;12.566371;10
17.35;12.566371;10
17.37;12.566371;10
17.39;12.566371;10
17.41;12.566371;10
17.43;12.566371;10
17.45;12.566371;10
17.47;12.566371;10
17.49;12.566371;10
17.51;12.566371;10
17.53;12.566371;10
17.55;12.566371;10
17.57;12.566371;10
17.59;12.566371;10
17.61;12.566371;10
17.63;12.566371;10
17.65;12.566371;10
17.67;12.566371;10
17.69;12.566371;10
17.71;12.566371;10
17.73;12.566371;10
17.75;12.566371;10
17.77;12.566371;10
17.79;12.566371;10
17.81;12.566371;10
17.83;12.566371;10
17.85;12.566371;10
17.87;12.566371;10
17.89;12.566371;10
17.91;12.566371;10
17.93;12.566371;10
17.95;12.566371;10
17.97;12.566371;10
17.99;12.566371;10
18.01;12.566371;0
18.03;12.566371;0
18.05;12.566371;0
18.07;12.566371;0
18.09;12.566371;0
18.11;12.566371;0
18.13;12.566371;0
18.15;12.566371;0
18.17;12.566371;0
18.19;12.566371;0
18.21;12.566371;0
18.23;12.566371;0
18.25;12.566371;0
18.27;12.566371;0
18.29;12.566371;0
18.31;12.566371;0
18.33;12.566371;0
18.35;12.566371;0
18.37;12.566371;0
18.39;12.566371;0
18.41;12.566371;0
18.43;12.566371;0
18.45;12.566371;0
18.47;12.566371;0
18.49;12.566371;0
18.51;12.566371;0
18.53;12.566371;0
18.55;12.566371;0
18.57;12.566371;0
18.59;12.566371;0
18.61;12.566371;0
18.63;12.566371;0
18.65;12.566371;0
18.67;12.566371;0
18.69;12.566371;0
18.71;12.566371;0
18.73;12.566371;0
18.75;12.566371;0
18.77;12.566371;0
18.79;12.566371;0
18.81;12.566371;0
18.83;12.566371;0
18.85;12.566371;0
18.87;12.566371;0
18.89;12.566371;0
18.91;12.566371;0
18.93;12.566371;0
18.95;12.566371;0
18.97;12.566371;0
18.99;12.566371;0
19.01;12.566371;0
19.03;12.566371;0
19.05;12.566371;0
19.07;12.566371;0
19.09;12.566371;0
19.11;12.566371;0
19.13;12.566371;0
19.15;12.566371;0
19.17;12.566371;0
19.19;12.566371;0
19.21;12.566371;0
19.23;12.566371;0
19.25;12.566371;0
19.27;12.566371;0
19.29;12.566371;0
19.31;12.566371;0
19.33;12.566371;0
19.35;12.566371;0
19.37;12.566371;0
19.39;12.566371;0
19.41;12.566371;0
19.43;12.566371;0
19.45;12.566371;0
19.47;12.566371;0
19.49;12.566371;0
19.51;12.566371;0
19.53;12.566371;0
19.55;12.566371;0
19.57;12.566371;0
19.59;12.566371;0
19.61;12.566371;0
19.63;12.566371;0
19.65;12.566371;0
19.67;12.566371;0
19.69;12.566371;0
19.71;12.566371;0
19.73;12.566371;0
19.75;12.566371;0
19.77;12.566371;0
19.79;12.566371;0
19.81;12.566371;0
19.83;12.566371;0
19.85;12.566371;0
19.87;12.566371;0
19.89;12.566371;0
19.91;12.566371;0
19.93;12.566371;0
19.95;12.566371;0
19.97;12.566371;0
19.99;12.566371;0
20.01;0;0
20.03;0;0
20.05;0;0
20.07;0;0
20.09;0;0
20.11;0;0
20.13;0;0
20.15;0;0
20.17;0;0
20.19;0;0
20.21;0;0
20.23;0;0
20.25;0;0
20.27;0;0
20.29;0;0
20.31;0;0
20.33;0;0
20.35;0;0
20.37;0;0
20.39;0;0
20.41;0;0
20.43;0;0
20.45;0;0
20.47;0;0
20.49;0;0
20.51;0;0
20.53;0;0
20.55;0;0
20.57;0;0
20.59;0;0
20.61;0;0
20.63;0;0
20.65;0;0
20.67;0;0
20.69;0;0
20.71;0;0
20.73;0;0
20.75;0;0
20.77;0;0
20.79;0;0
20.81;0;0
20.83;0;0
20.85;0;0
20.87;0;0
20.89;0;0
20.91;0;0
20.93;0;0
20.95;0;0
20.97;0;0
20.99;0;0
21.01;0;0
21.03;0;0
21.05;0;0
21.07;0;0
21.09;0;0
21.11;0;0
21.13;0;0
21.15;0;0
21.17;0;0
21.19;0;0
21.21;0;0
21.23;0;0
21.25;0;0
21.27;0;0
21.29;0;0
21.31;0;0
21.33;0;0
21.35;0;0
21.37;0;0
21.39;0;0
21.41;0;0
21.43;0;0
21.45;0;0
21.47;0;0
21.49;0;0
21.51;0;0
21.53;0;0
21.55;0;0
21.57;0;0
21.59;0;0
21.61;0;0
21.63;0;0
21.65;0;0
21.67;0;0
21.69;0;0
21.71;0;0
21.73;0;0
21.75;0;0
21.77;0;0
21.79;0;0
21.81;0;0
21.83;0;0
21.85;0;0
21.87;0;0
21.89;0;0
21.91;0;0
21.93;0;0
21.95;0;0
21.97;0;0
21.99;0;0
22.01;0;0
22.03;0;0
22.05;0;0
22.07;0;0
22.09;0;0
22.11;0;0
22.13;0;0
22.15;0;0
22.17;0;0
22.19;0;0
22.21;0;0
22.23;0;0
22.25;0;0
22.27;0;0
22.29;0;0
22.31;0;0
22.33;0;0
22.35;0;0
22.37;0;0
22.39;0;0
22.41;0;0
22.43;0;0
22.45;0;0
22.47;0;0
22.49;0;0
22.51;0;0
22.53;0;0
22.55;0;0
22.57;0;0
22.59;0;0
22.61;0;0
22.63;0;0
22.65;0;0
22.67;0;0
22.69;0;0
22.71;0;0
22.73;0;0
22.75;0;0
22.77;0;0
22.79;0;0
22.81;0;0
22.83;0;0
22.85;0;0
22.87;0;0
22.89;0;0
22.91;0;0
22.93;0;0
22.95;0;0
22.97;0;0
22.99;0;0
23.01;0;0
23.03;0;0
23.05;0;0
23.07;0;0
23.09;0;0
23.11;0;0
23.13;0;0
23.15;0;0
23.17;0;0
23.19;0;0
23.21;0;0
23.23;0;0
23.25;0;0
23.27;0;0
23.29;0;0
23.31;0;0
23.33;0;0
23.35;0;0
23.37;0;0
23.39;0;0
23.41;0;0
23.43;0;0
23.45;0;0
23.47;0;0
23.49;0;0
23.51;0;0
23.53;0;0
23.55;0;0
23.57;0;0
23.59;0;0
23.61;0;0
23.63;0;0
23.65;0;0
23.67;0;0
23.69;0;0
23.71;0;0
23.73;0;0
23.75;0;0
23.77;0;0
23.79;0;0
23.81;0;0
23.83;0;0
23.85;0;0
23.87;0;0
23.89;0;0
23.91;0;0
23.93;0;0
23.95;0;0
23.97;0;0
23.99;0;0
24.01;0;0
24.03;0;0
24.05;0;0
24.07;0;0
24.09;0;0
24.11;0;0
24.13;0;0
24.15;0;0
24.17;0;0
24.19;0;0
24.21;0;0
24.23;0;0
24.25;0;0
24.27;0;0
24.29;0;0
24.31;0;0
24.33;0;0
24.35;0;0
24.37;0;0
24.39;0;0
24.41;0;0
24.43;0;0
24.45;0;0
24.47;0;0
24.49;0;0
24.51;0;0
24.53;0;0
24.55;0;0
24.57;0;0
24.59;0;0
24.61;0;0
24.63;0;0
24.65;0;0
24.67;0;0
24.69;0;0
24.71;0;0
24.73;0;0
24.75;0;0
24.77;0;0
24.79;0;0
24.81;0;0
24.83;0;0
24.85;0;0
24.87;0;0
24.89;0;0
24.91;0;0
24.93;0;0
24.95;0;0
24.97;0;0
24.99;0;0
25.01;0;0
25.03;0;0
25.05;0;0
25.07;0;0
25.09;0;0
25.11;0;0
25.13;0;0
25.15;0;0
25.17;0;0
25.19;0;0
25.21;0;0
25.23;0;0
25.25;0;0
25.27;0;0
25.29;0;0
25.31;0;0
25.33;0;0
25.35;0;0
25.37;0;0
25.39;0;0
25.41;0;0
25.43;0;0
25.45;0;0
25.47;0;0
25.49;0;0
25.51;0;0
25.53;0;0
25.55;0;0
25.57;0;0
25.59;0;0
25.61;0;0
25.63;0;0
25.65;0;0
25.67;0;0
25.69;0;0
25.71;0;0
25.73;0;0
25.75;0;0
25.77;0;0
25.79;0;0
25.81;0;0
25.83;0;0
25.85;0;0
25.87;0;0
25.89;0;0
25.91;0;0
25.93;0;0
25.95;0;0
25.97;0;0
25.99;0;0
26.01;0;0
26.03;0;0
26.05;0;0
26.07;0;0
26.09;0;0
26.11;0;0
26.13;0;0
26.15;0;0
26.17;0;0
26.19;0;0
26.21;0;0
26.23;0;0
26.25;0;0
26.27;0;0
26.29;0;0
26.31;0;0
26.33;0;0
26.35;0;0
26.37;0;0
26.39;0;0
26.41;0;0
26.43;0;0
26.45;0;0
26.47;0;0
26.49;0;0
26.51;0;0
26.53;0;0
26.55;0;0
26.57;0;0
26.59;0;0
26.61;0;0
26.63;0;0
26.65;0;0
26.67;0;0
26.69;0;0
26.71;0;0
26.73;0;0
26.75;0;0
26.77;0;0
26.79;0;0
26.81;0;0
26.83;0;0
26.85;0;0
26.87;0;0
26.89;0;0
26.91;0;0
26.93;0;0
26.95;0;0
26.97;0;0
26.99;0;0
27.01;0;0
27.03;0;0
27.05;0;0
27.07;0;0
27.09;0;0
27.11;0;0
27.13;0;0
27.15;0;0
27.17;0;0
27.19;0;0
27.21;0;0
27.23;0;0
27.25;0;0
27.27;0;0
27.29;0;0
27.31;0;0
27.33;0;0
27.35;0;0
27.37;0;0
27.39;0;0
27.41;0;0
27.43;0;0
27.45;0;0
