time;u;z;y1;y2
6.38;0;0;3.418052807;-3.418052807
6.4;0;0;3.32694662;-3.345796176
6.42;0;0;3.245265211;-3.276681138
6.44;0;0;3.081902393;-3.122743098
6.46;0;0;3.000220984;-3.041061689
6.48;0;0;2.927964353;-2.95938028
6.5;0;0;2.861990907;-2.880840463
6.52;0;0;2.726902423;-2.796017462
6.54;0;0;2.657787385;-2.635796236
6.56;0;0;2.591813939;-2.55725642
6.58;0;0;2.532123679;-2.488141382
6.6;0;0;2.393893602;-2.349911305
6.62;0;0;2.318495378;-2.280796267
6.64;0;0;2.252521933;-2.221106006
6.66;0;0;2.173982116;-2.15513256
6.68;0;0;2.051460003;-2.042035225
6.7;0;0;1.982344964;-1.979203372
6.72;0;0;1.922654704;-1.922654704
6.74;0;0;1.859822851;-1.859822851
6.76;0;0;1.746725515;-1.743583923
6.78;0;0;1.690176848;-1.677610477
6.8;0;0;1.643052958;-1.624203402
6.82;0;0;1.58650429;-1.564513141
6.84;0;0;1.485973325;-1.460840584
6.86;0;0;1.429424657;-1.407433509
6.88;0;0;1.382300768;-1.360309619
6.9;0;0;1.328893692;-1.310044137
6.92;0;0;1.234645913;-1.222079542
6.94;0;0;1.18438043;-1.17181406
6.96;0;0;1.140398133;-1.130973355
6.98;0;0;1.093274243;-1.083849465
7;0;0;1.011592834;-1.002168056
7.02;0;0;0.97075213;-0.958185759
7.04;0;0;0.933053018;-0.920486648
7.06;0;0;0.892212314;-0.87650435
7.08;0;0;0.823097275;-0.804247719
7.1;0;0;0.788539756;-0.7696902
7.12;0;0;0.753982237;-0.735132681
7.14;0;0;0.684867198;-0.669159235
7.16;0;0;0.650309679;-0.637743309
7.18;0;0;0.61575216;-0.606327382
7.2;0;0;0.587477826;-0.578053048
7.22;0;0;0.530929158;-0.546637122
7.24;0;0;0.499513232;-0.490088454
7.26;0;0;0.471238898;-0.46181412
7.28;0;0;0.449247749;-0.436681379
7.3;0;0;0.398982267;-0.408407045
7.32;0;0;0.373849526;-0.361283155
7.34;0;0;0.348716785;-0.336150414
7.36;0;0;0.329867229;-0.317300858
7.38;0;0;0.285884931;-0.273318561
7.4;0;0;0.263893783;-0.251327412
7.42;0;0;0.245044227;-0.232477856
7.44;0;0;0.226194671;-0.216769893
7.46;0;0;0.191637152;-0.182212374
7.48;0;0;0.172787596;-0.163362818
7.5;0;0;0.157079633;-0.150796447
7.52;0;0;0.141371669;-0.131946891
7.54;0;0;0.113097336;-0.103672558
7.56;0;0;0.100530965;-0.091106187
7.58;0;0;0.087964594;-0.078539816
7.6;0;0;0.075398224;-0.065973446
7.62;0;0;0.053407075;-0.043982297
7.64;0;0;0.043982297;-0.034557519
7.66;0;0;0.034557519;-0.025132741
7.68;0;0;0.025132741;-0.015707963
7.7;0;0;0.009424778;5.68E-14
7.72;0;0;0.003141593;0.006283185
7.74;0;0;-0.003141593;0.012566371
7.76;0;0;-0.009424778;0.015707963
