time;u;y;z1;z2
3.71;10;10.4789420999159;0;0
3.72;10;10.3970949763145;0;0
3.73;10;10.4273848436991;0;0
3.74;10;10.4589636578709;0;0
3.75;10;10.4099842797201;0;0
3.76;10;10.4499411378402;0;0
3.77;10;10.3774387939326;0;0
3.78;10;10.4715307416056;0;0
3.79;10;10.41868456108;0;0
3.8;10;10.4109509775868;0;0
3.81;10;10.4853867600621;0;0
3.82;10;10.3893613955958;0;0
3.83;10;10.4251292147509;0;0
3.84;10;10.4770087020074;0;0
3.85;10;10.3951615810418;0;0
3.86;10;10.4328628000685;0;0
3.87;10;10.441885317531;0;0
3.88;10;10.4302849381853;0;0
3.89;10;10.4273848436991;0;0
3.9;10;10.4148177692091;0;0
3.91;10;10.4708862757089;0;0
3.92;10;10.403217395088;0;0
3.93;10;10.4045063254354;0;0
3.94;10;10.4799087988936;0;0
3.95;10;10.3867835355769;0;0
3.96;10;10.4241625166562;0;0
3.97;10;10.4637971513031;0;0
3.98;10;10.404184092846;0;0
3.99;10;10.4367295931007;0;0
4;10;10.4222291205135;1;0
4.01;10;10.448652206518;1;0
4.02;10;10.259501833891;1;0
4.03;10;10.0893636710703;1;0
4.04;10;10.1734659992477;1;0
4.05;10;10.0439291278253;1;0
4.06;10;9.93082626080371;1;0
4.07;10;9.93275964141596;1;0
4.08;10;9.88442514409071;1;0
4.09;10;9.7297550031277;1;0
4.1;10;9.75875562561113;1;0
4.11;10;9.74103302140051;1;0
4.12;10;9.58958551474191;1;0
4.13;10;9.58604100294226;1;0
4.14;10;9.58732991630122;1;0
4.15;10;9.51740640404532;1;0
4.16;10;9.46262766880445;1;0
4.17;10;9.42814931224081;1;0
4.18;10;9.46842776797877;1;0
4.19;10;9.39721547525798;1;0
4.2;10;9.29571392608005;1;0
4.21;10;9.34662579446486;1;0
4.22;10;9.34791470304113;1;0
4.23;10;9.27895812997345;1;0
4.24;10;9.25801339087007;1;0
4.25;10;9.22675740802971;1;0
4.26;10;9.26123565798875;1;0
4.27;10;9.25027995043119;1;0
4.28;10;9.15812318852694;1;0
4.29;10;9.15554537885695;1;0
4.3;10;9.19453476086505;1;0
4.31;10;9.18744578060451;1;0
4.32;10;9.16424548689617;1;0
4.33;10;9.08691123329648;1;0
4.34;10;9.11333375979577;1;0
4.35;10;9.16005654584542;1;0
4.36;10;9.12428944460072;1;0
4.37;10;9.0991558174401;1;0
4.38;10;9.04856636595566;1;0
4.39;10;9.07982226456028;1;0
4.4;10;9.12590057487181;1;0
4.41;10;9.08433342639586;1;0
4.42;10;9.05726645997026;1;0
4.43;10;9.01988828631283;1;0
4.44;10;9.06371097478758;1;0
4.45;10;9.10237807680044;1;0
4.46;10;9.05501087993149;1;0
4.47;10;9.03052173013642;1;0
4.48;10;9.00603258932386;1;0
4.49;10;9.05146639716767;1;0
4.5;10;9.08111116791064;1;0
4.51;10;9.02762169983482;1;0
4.52;10;9.0160215798875;1;0
4.53;10;8.99539914939511;1;0
4.54;10;9.03761069362625;1;0
4.55;10;9.06661100665884;1;0
4.56;10;9.02053273740547;1;0
4.57;10;9.00313256008481;1;0
4.58;10;8.98541016190954;1;0
4.59;10;9.02762169983482;1;0
4.6;10;9.05758868569631;1;0
4.61;10;9.01183264817914;1;0
4.62;10;8.99733250198377;1;0
4.63;10;8.98283235892924;1;0
4.64;10;9.02407721852611;1;0
4.65;10;9.05243307426638;1;0
4.66;10;9.00925484418136;1;0
4.67;10;8.99249912061679;1;0
4.68;10;8.97606562657763;1;0
4.69;10;9.01666603094285;1;0
4.7;10;9.04824414027322;1;0
4.71;10;9.00571036384665;1;0
4.72;10;8.990887993572;1;0
4.73;10;8.97058779612647;1;0
4.74;10;9.01151042267398;1;0
4.75;10;9.04759968891302;1;0
4.76;10;9.00861039319744;1;0
