Zeit [s];r [v];l [v];u [v];y [v]
4.54;0;0;0;6.214647186
4.55;0;0;0;5.735516977
4.56;0;0;0;5.315998195
4.57;0;0;0;4.956734357
4.58;0;0;0;4.606815856
4.59;0;0;0;4.2362773
4.6;0;0;0;3.96369062
4.61;0;0;0;3.625696945
4.62;0;0;0;3.379210277
4.63;0;0;0;3.106303398
4.64;0;0;0;2.882049782
4.65;0;0;0;2.663596197
4.66;0;0;0;2.438054517
4.67;0;0;0;2.26245446
4.68;0;0;0;2.094587449
4.69;0;0;0;1.91512139
4.7;0;0;0;1.75530978
4.71;0;0;0;1.628684969
4.72;0;0;0;1.497871654
4.73;0;0;0;1.367380642
4.74;0;0;0;1.243978121
4.75;0;0;0;1.136685661
4.76;0;0;0.312136953;1.032293058
4.77;0;0;0;0.964953417
4.78;0;0;0.250439656;0.883759241
4.79;0;0;0;0.812875464
4.8;0;0;0.378326711;0.731359154
4.81;0;0;0;0.697206085
4.82;0;0;0.310139142;0.629544362
4.83;0;0;0;0.582503368
4.84;0;0;0.290641921;0.536428981
4.85;0;0;0;0.496476373
4.86;0;0;0.308045841;0.452335195
4.87;0;0;0.114902674;0.410449413
4.88;0;0;0;0.383384759
4.89;0;0;0.158890897;0.341821189
4.9;0;0;0.053910701;0.304446203
4.91;0;0;0;0.271904195
4.92;0;0;0.197293619;0.238073399
4.93;0;0;0.124655574;0.21197536
4.94;0;0;0.068929682;0.187488314
4.95;0;0;0.023746092;0.165256656
4.96;0;0;0.030478236;0.139158625
4.97;0;0;0.056429466;0.114349389
4.98;0;0;0.125571299;0.087284771
4.99;0;0;0.12962916;0.073430265
5;0;0;0.183392468;0.054742794
5.01;0;0;0.190623967;0.045399058
5.02;0;0;0.226495622;0.033477742
5.03;0;0;0.2361436;0.027033787
5.04;0;0;0.252815488;0.020589832
5.05;0;0;0.246521121;0.018334448
5.06;0;0;0.284209964;0.010279505
5.07;0;0;0.263777561;0.011568296
5.08;0;0;0.290386024;0.006090935
5.09;0;0;0.283746904;0.006090935
5.1;0;0;0.31632569;0.000613574
5.11;0;0;0.301815281;0.00254676
5.12;0;0;0.211375759;0.014790273
5.13;0;0;0.319828883;-0.002608403
5.14;0;0;0.297295752;0.000935772
5.15;0;0;0.300889632;0.000291376
5.16;0;0;0.314413645;-0.00164181
5.17;0;0;0.309282411;-0.000675217
5.18;0;0;0.298483719;0.000935772
5.19;0;0;0.299770664;0.000613574
5.2;0;0;0.317557352;-0.001964008
5.21;0;0;0.310470379;-0.000675217
5.22;0;0;0.304285558;0.000291376
5.23;0;0;0.327037313;-0.002930601
5.24;0;0;0.316390055;-0.000997415
5.25;0;0;0.312863366;-0.000353019
5.26;0;0;0.324782834;-0.001964008
5.27;0;0;0.324616667;-0.00164181
5.28;0;0;0.321792369;-0.000997415
5.29;0;0;0.325186486;-0.001319612
5.3;0;0;0.368149702;-0.007119171
5.31;0;0;0.311315404;0.001902365
5.32;0;0;0.34845973;-0.003574996
5.33;0;0;0.331594057;-0.000675217
5.34;0;0;0.323102301;0.000613574
5.35;0;0;0.338582054;-0.00164181
5.36;0;0;0.344985498;-0.002286205
