Zeit [s];r [v];l [v];ySystune [v];yGenetic [v];yDifferentialEvol [v]
;-;-;-;-;-
0;4;3;1;1;1
0;ebbd34;e0162e;3189f5;2cf533;cc2cf5
2.58;0;0;2.818253565;2.825986438;2.839518967
2.59;0;0;2.585300972;2.596255857;2.613654793
2.6;0;0;2.409700732;2.406478711;2.427744049
2.61;0;0;2.212190997;2.21863503;2.238933735
2.62;0;0;2.016614737;2.033691402;2.054634484
2.63;0;0;1.863247039;1.877101678;1.904810959
2.64;0;0;1.725345121;1.729855929;1.751765572
2.65;0;0;1.583576917;1.587443321;1.599042533
2.66;0;0;1.443419837;1.448252837;1.457918839
2.67;0;0;1.321950461;1.330005456;1.34353785
2.68;0;0;1.209824959;1.219490948;1.231412334
2.69;0;0;1.120253488;1.111876303;1.138296659
2.7;0;0;1.010383507;1.02681567;1.03615945
2.71;0;0;0.926611718;0.92242313;0.948843459
2.72;0;0;0.836395987;0.848639548;0.854116931
2.73;0;0;0.749724485;0.784521961;0.78194437
2.74;0;0;0.671430188;0.693984097;0.727170569
2.75;0;0;0.606346062;0.635021739;0.675296572
2.76;0;0;0.547705928;0.558660677;0.614078829
2.77;0;0;0.492287794;0.527085225;0.558338478
2.78;0;0;0.440736054;0.477788866;0.498087365
2.79;0;0;0.396594887;0.449757608;0.463612137
2.8;0;0;0.366308253;0.410449413;0.416571181
2.81;0;0;0.340532397;0.365663856;0.370819028
2.82;0;0;0.325066885;0.343109982;0.333121839
2.83;0;0;0.298002241;0.299291033;0.295424656
2.84;0;0;0.279636949;0.269648808;0.261271659
2.85;0;0;0.258694074;0.239039993;0.226796468
2.86;0;0;0.238717795;0.202953817;0.197798649
2.87;0;0;0.223896686;0.160745885;0.17717798
2.88;0;0;0.208108984;0.150113354;0.153657531
2.89;0;0;0.188777106;0.120148951;0.135292251
2.9;0;0;0.176211386;0.097272903;0.108549828
2.91;0;0;0.165256656;0.085351584;0.090506749
2.92;0;0;0.155590718;0.076330045;0.076007848
2.93;0;0;0.142702802;0.063764331;0.062153342
2.94;0;0;0.13239247;0.053454002;0.047010047
2.95;0;0;0.124981919;0.043465872;0.037021917
2.96;0;0;0.111771806;0.035410928;0.027355984
2.97;0;0;0.105972245;0.032188951;0.024456205
2.98;0;0;0.095984112;0.019301041;0.01801225
2.99;0;0;0.093084332;0.016401262;0.012857087
3;0;0;0.086640375;0.012534889;0.007379726
3.01;0;0;0.077618837;0.009957307;0.003191156
3.02;0;0;0.070530485;0.00544654;0.003513353
3.03;0;0;0.066986309;0.006090935;0.004157749
3.04;0;0;0.063442134;0.004479946;0.000291376
3.05;0;0;0.057642574;0.00254676;0.002224562
3.06;0;0;0.053131805;-0.000353019;-3.08E-05
3.07;0;0;0.052809607;0.002868958;0.001257969
3.08;0;0;0.046687849;0.000291376;0.000613574
3.09;0;0;0.041854883;0.000291376;-0.000353019
3.1;0;0;0.038310708;0.001580167;-0.000675217
3.11;0;0;0.038955103;0.000935772;0.000935772
3.12;0;0;0.032188951;-0.00164181;0.000935772
3.13;0;0;0.032188951;-0.000353019;0.001580167
3.14;0;0;0.028644775;-0.001964008;-0.002286205
3.15;0;0;0.026711589;0.002224562;0.000935772
3.16;0;0;0.022200821;-0.001319612;-0.000353019
3.17;0;0;0.023167414;-0.00164181;-3.08E-05
3.18;0;0;0.018978844;-0.00164181;-3.08E-05
3.19;0;0;0.021556425;0.000935772;-0.000997415
3.2;0;0;0.015434669;-0.003574996;-0.002930601
3.21;0;0;0.021234228;0.001257969;0.000613574
3.22;0;0;0.014790273;-3.08E-05;-0.001319612
3.23;0;0;0.013179285;-0.000353019;-0.001319612
3.24;0;0;0.014468075;-0.000675217;-0.001319612
3.25;0;0;0.011568296;-0.002608403;0.000935772
3.26;0;0;0.011246098;-0.003574996;-0.001964008
3.27;0;0;0.010279505;-0.001319612;0.001902365
3.28;0;0;0.007701923;-0.00164181;-0.001964008
3.29;0;0;0.008990714;-0.000353019;0.000291376
3.3;0;0;0.00673533;0.000613574;-0.00164181
3.31;0;0;0.008024121;0.000935772;0.000291376
3.32;0;0;0.003191156;-0.002286205;0.001257969
3.33;0;0;0.007057528;-0.000353019;-3.08E-05
